Id,ProductId,ProductName,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,review_date,Summary,Text,Category,HelpfulnessRatio
1,PROD000001,Smartphone X200,USER6202,Customer8036,24,28,4,1748589059,2025-05-30,Best electronics I've ever owned. Fast shipping and...,Best electronics I've ever owned. Fast shipping and good packaging.,Electronics,0.8571428571428571
2,PROD000002,Smartphone X200,USER8495,Customer1566,17,21,2,1756105859,2025-08-25,Cheaply made and doesn't work properly. Much better...,Cheaply made and doesn't work properly. Much better than I expected.,Electronics,0.8095238095238095
3,PROD000003,Smartphone X200,USER2113,Customer1924,1,5,3,1744528259,2025-04-13,"It works, but there are better options. Fast...","It works, but there are better options. Fast shipping and good packaging.",Electronics,0.2
4,PROD000004,Smartphone X200,USER7240,Customer9924,4,14,4,1744787459,2025-04-16,Incredible quality and performance. Very easy to set...,Incredible quality and performance. Very easy to set up and use.,Electronics,0.2857142857142857
5,PROD000005,Smartphone X200,USER2345,Customer4895,7,12,5,1745478659,2025-04-24,Absolutely love this Smartphone X200! Would buy from...,Absolutely love this Smartphone X200! Would buy from this brand again.,Electronics,0.5833333333333334
6,PROD000006,Smartphone X200,USER4908,Customer2993,1,1,3,1743491459,2025-04-01,"It works, but there are better options. Great...","It works, but there are better options. Great value for money.",Electronics,1.0
7,PROD000007,Smartphone X200,USER5482,Customer1929,11,15,3,1733296259,2024-12-04,Average performance from the Smartphone X200. Perfect for...,Average performance from the Smartphone X200. Perfect for my needs.,Electronics,0.7333333333333333
8,PROD000008,Smartphone X200,USER6602,Customer8736,14,21,4,1738912259,2025-02-07,Incredible quality and performance. Perfect for my needs....,Incredible quality and performance. Perfect for my needs.,Electronics,0.6666666666666666
9,PROD000009,Smartphone X200,USER7469,Customer4860,18,26,5,1753600259,2025-07-27,Worth every penny - the Smartphone X200 is...,Worth every penny - the Smartphone X200 is amazing. Much better than I expected.,Electronics,0.6923076923076923
10,PROD000010,Smartphone X200,USER5174,Customer2746,18,28,3,1735024259,2024-12-24,"It works, but there are better options. Great...","It works, but there are better options. Great value for money.",Electronics,0.6428571428571429
